id,life,walkspeed,runspeed,drivespeed,weapon,subweapon,level,hp,attackpower,hitrate,defense,magicdefense,dodge,attackspeed,AI,exp,dropid,money,item,tab1,tab2,tab3,specialtab,attackdistance,aggresive,shp
62,0,220,440,70,0,0,12,7,30,70,25,13,16,100,3,20,118,0,60,0,0,0,0,210,1,350
63,0,240,400,70,0,0,15,8,45,74,29,16,20,105,1,21,131,0,60,0,0,0,0,230,3,350
64,0,260,370,80,0,0,18,9,64,78,33,19,25,107,9,24,143,0,60,0,0,0,0,250,4,350
67,0,240,320,90,1061,0,31,22,160,98,117,74,51,110,29,63,188,0,60,0,0,0,0,800,9,460
68,0,240,350,130,1061,0,35,37,189,104,151,96,56,110,44,270,191,0,60,0,0,0,0,900,10,510
69,0,300,450,170,333,0,38,80,208,109,163,105,60,110,53,707,193,0,60,0,0,0,0,1500,11,660
71,0,140,400,80,1011,0,12,7,30,70,25,13,16,100,3,19,119,0,60,0,0,0,0,200,1,0
72,0,140,420,88,1011,0,13,7,34,71,27,15,17,100,3,20,122,0,60,0,0,0,0,220,1,0
73,0,170,500,90,1012,0,17,9,55,77,34,20,23,105,1,24,138,0,60,0,0,0,0,230,3,0
74,0,160,420,102,1031,0,20,9,63,81,52,31,29,95,2,26,149,0,60,0,0,0,0,300,2,0
75,0,160,380,102,1032,0,19,9,67,80,40,23,27,105,1,24,147,0,60,0,0,0,0,320,3,0
76,0,230,550,245,1014,0,31,77,171,98,135,85,51,110,82,659,173,0,60,0,0,0,0,350,11,0
81,0,150,420,80,0,0,23,10,87,86,58,35,34,100,3,28,162,0,60,0,0,0,0,180,1,0
82,0,145,350,100,0,0,24,11,97,87,55,33,37,105,1,27,165,0,60,0,0,0,0,200,3,0
84,0,160,370,80,0,0,27,12,113,92,74,45,43,100,3,31,177,0,60,0,0,0,0,200,1,0
85,0,180,470,100,0,0,29,13,116,95,92,57,48,95,2,36,183,0,60,0,0,0,0,220,2,0
87,0,130,400,80,0,0,30,13,135,96,88,55,50,100,22,34,185,0,60,0,0,0,0,200,1,0
88,0,130,320,100,0,0,31,13,146,98,81,51,51,105,105,33,189,0,60,0,0,0,0,230,3,0
91,0,130,400,110,1011,0,24,11,109,87,73,44,43,100,106,29,166,0,60,0,0,0,0,230,1,0
92,0,180,520,125,1014,0,26,12,130,90,62,38,45,107,23,32,174,0,60,0,0,0,0,250,4,0
93,0,145,600,145,1007,302,28,12,132,93,74,46,48,105,1,34,180,0,60,0,0,0,0,260,3,0
94,0,140,330,125,1014,0,25,11,126,89,60,37,44,107,23,29,168,0,60,0,0,0,0,260,4,0
95,0,130,400,90,0,0,18,500,1,1,0,999,999,100,306,22,142,0,60,0,0,0,0,230,1,0
96,0,160,400,100,941,0,26,12,121,90,74,45,45,97,27,30,175,0,60,0,0,0,0,2000,6,0
97,0,180,520,98,0,0,18,500,1,1,0,999,999,107,306,22,143,0,60,0,0,0,0,250,4,0
98,0,145,370,100,0,0,18,500,1,1,0,999,999,105,306,22,144,0,60,0,0,0,0,260,3,0
99,0,160,400,96,0,0,18,500,1,1,0,999,999,97,306,22,146,0,60,0,0,0,0,300,6,0
101,0,150,350,80,1003,0,16,8,73,75,54,31,33,100,22,22,135,0,60,0,0,0,0,250,1,0
102,0,190,480,110,1080,0,17,9,73,77,56,32,34,90,26,23,139,0,60,0,0,0,0,1500,5,0
103,0,170,500,120,1003,302,18,12,90,78,70,40,36,110,24,32,144,0,60,0,0,0,0,260,8,0
110,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
111,0,180,520,95,0,0,37,13,165,107,106,68,59,100,22,41,206,0,60,0,0,0,0,220,1,0
112,0,200,460,105,0,0,38,13,154,109,120,77,60,90,22,42,209,0,60,0,0,0,0,230,2,0
113,0,200,450,110,1016,0,39,14,192,111,89,58,61,105,107,40,212,0,60,0,0,0,0,250,4,0
114,0,200,500,150,1016,0,40,22,205,112,149,97,63,100,25,75,215,0,60,0,0,0,0,260,9,0
121,0,220,700,120,0,0,73,23,345,170,196,136,109,95,21,60,281,0,60,0,0,0,0,230,3,0
122,0,200,700,150,0,0,74,23,370,172,177,123,111,115,115,61,286,0,60,0,0,0,0,240,4,0
123,0,240,700,200,0,0,77,37,402,178,301,210,115,105,114,114,301,0,60,0,0,0,0,250,9,0
127,0,200,450,145,0,0,68,20,339,161,160,111,102,125,263,53,155,0,60,0,0,0,0,240,4,0
128,0,230,510,145,1044,0,70,22,323,165,197,136,105,105,264,58,175,0,60,0,0,0,0,2000,6,0
129,0,240,530,160,0,0,74,36,385,172,287,199,111,120,263,104,156,0,60,0,0,0,0,250,9,0
130,0,220,530,180,137,5,76,36,396,176,296,206,114,125,262,105,177,0,60,0,0,0,0,300,9,0
131,0,180,500,90,0,0,30,13,135,96,88,55,50,105,3,38,186,0,60,0,0,0,0,180,1,0
132,0,180,480,105,0,0,33,13,155,101,86,54,54,95,1,37,194,0,60,0,0,0,0,200,3,0
133,0,185,420,140,0,0,35,13,173,104,81,51,56,120,9,37,197,0,60,0,0,0,0,210,4,0
134,0,190,500,110,133,0,37,13,150,107,117,75,59,90,22,42,207,0,60,0,0,0,0,300,2,0
135,0,180,460,155,134,0,38,13,177,109,98,63,60,105,22,38,210,0,60,0,0,0,0,300,3,0
136,0,180,450,180,1021,0,40,17,195,112,137,89,63,120,24,52,216,0,60,0,0,0,0,300,8,0
137,0,180,500,2,0,0,30,13,135,96,88,55,50,0,0,38,0,0,0,0,0,0,0,300,1,0
138,0,220,480,140,1021,0,39,14,192,111,89,58,61,115,115,53,213,0,60,0,0,0,0,300,4,0
139,0,230,520,170,135,0,41,22,210,114,153,99,64,100,114,77,218,0,60,0,0,0,0,300,9,0
141,0,220,540,180,104,0,74,23,335,172,221,153,111,100,1,57,287,0,60,0,0,0,0,250,3,0
142,0,240,600,180,106,5,78,25,323,180,258,180,117,90,116,64,452,0,60,0,0,0,0,260,2,0
143,0,220,480,200,167,0,81,26,407,185,196,137,121,115,109,61,315,0,60,0,0,0,0,280,4,0
144,0,220,550,220,1045,0,76,24,322,176,228,159,114,105,11,60,297,0,60,0,0,0,0,2400,5,0
145,0,210,470,260,1044,0,80,26,373,183,230,161,120,85,12,62,313,0,60,0,0,0,0,2000,6,0
151,0,200,550,140,0,0,60,17,245,146,192,131,90,90,22,55,251,0,60,0,0,0,0,190,2,0
152,0,220,460,165,1013,0,61,18,286,148,160,109,92,100,21,50,255,0,60,0,0,0,0,250,3,0
153,0,230,560,230,0,0,69,21,344,163,163,113,103,95,113,61,270,0,60,0,0,0,0,220,4,0
154,0,220,560,165,1002,0,62,19,291,150,163,111,93,100,21,53,256,0,60,0,0,0,0,240,3,0
155,0,200,500,190,1004,303,65,20,323,155,152,105,97,120,113,53,263,0,60,0,0,0,0,250,4,0
156,0,230,510,250,1045,0,70,22,323,165,197,136,105,85,27,58,453,0,60,0,0,0,0,2000,6,0
157,0,250,580,180,1044,0,64,19,268,154,187,128,96,110,26,51,262,0,60,0,0,0,0,2000,5,0
158,0,220,530,200,137,5,67,31,347,159,256,176,100,100,114,97,267,0,60,0,0,0,0,300,9,0
159,0,260,570,300,0,0,72,27,355,168,257,178,108,90,112,77,277,0,60,0,0,0,0,260,8,0
161,0,250,550,150,0,0,82,26,374,187,249,174,123,90,63,67,319,0,60,0,0,0,0,220,1,0
162,0,290,630,200,0,0,85,28,406,193,234,164,127,90,371,67,333,0,60,0,0,0,0,230,3,0
163,0,320,690,200,1116,0,86,28,435,195,211,148,129,85,372,70,339,0,60,0,0,0,0,250,4,0
164,0,200,450,170,0,0,87,29,363,197,294,207,130,90,62,68,344,0,60,0,0,0,0,190,2,0
165,0,220,490,180,0,0,89,29,427,201,247,174,134,105,374,65,355,0,60,0,0,0,0,220,3,0
166,0,220,490,220,1128,0,93,47,515,209,434,307,140,100,376,118,380,0,60,0,0,0,0,250,9,0
169,0,350,750,250,39,0,91,46,481,205,366,259,137,100,64,134,368,0,60,0,0,0,0,250,9,0
171,0,180,480,100,1035,0,33,13,134,101,105,66,54,90,319,40,195,0,60,0,0,0,0,350,2,0
172,0,220,430,125,164,0,34,13,168,103,79,50,55,110,320,38,196,0,60,0,0,0,0,360,4,0
173,0,210,460,145,165,0,38,22,195,109,142,91,60,95,323,72,211,0,60,0,0,0,0,380,9,0
175,0,240,530,112,1042,0,35,13,146,104,101,64,56,95,321,39,198,0,60,0,0,0,0,2200,5,0
176,0,210,470,125,1043,0,36,13,165,106,98,63,58,82,322,40,202,0,60,0,0,0,0,2000,6,0
177,0,210,470,135,1043,0,36,13,165,106,98,63,58,110,264,40,190,0,60,0,0,0,0,2000,6,0
178,0,210,460,155,165,0,40,22,205,112,149,97,63,120,262,74,188,0,60,0,0,0,0,380,9,0
179,0,200,450,120,0,0,42,14,170,116,132,86,65,105,267,44,152,0,60,0,0,0,0,250,2,0
180,0,200,500,140,1016,0,45,22,231,121,167,110,69,120,262,77,153,0,60,0,0,0,0,260,9,0
181,0,180,580,75,0,0,51,14,228,131,146,98,78,115,22,50,238,0,60,0,0,0,0,160,1,0
182,0,165,530,110,0,0,52,15,211,132,164,110,79,95,22,50,240,0,60,0,0,0,0,160,2,0
183,0,170,450,110,1015,0,54,16,252,136,140,94,82,100,21,46,243,0,60,0,0,0,0,230,3,0
185,0,175,550,95,203,0,56,16,234,139,162,109,84,102,26,49,245,0,60,0,0,0,0,2500,5,0
186,0,170,450,130,1042,0,59,17,271,145,163,110,89,85,27,50,249,0,60,0,0,0,0,2100,6,0
187,0,180,450,135,1021,0,53,15,262,134,122,82,80,135,262,45,162,0,60,0,0,0,0,300,4,0
188,0,240,338,140,1075,0,56,20,273,139,194,131,84,120,264,60,123,0,60,0,0,0,0,1600,8,0
189,0,170,450,125,1042,0,59,17,271,145,163,110,89,100,264,50,195,0,60,0,0,0,0,2100,6,0
190,0,230,520,165,135,0,62,29,320,150,235,160,93,120,262,93,164,0,60,0,0,0,0,300,9,0
192,0,220,490,185,0,0,82,26,391,187,224,157,123,110,268,61,183,0,60,0,0,0,0,220,3,0
193,0,290,630,260,0,0,84,68,462,191,384,270,126,100,266,481,180,0,60,0,0,0,0,230,10,0
194,0,220,490,220,0,0,87,71,479,197,400,282,130,115,268,439,184,0,60,0,0,0,0,250,10,0
196,0,225,640,160,40,3,93,32,390,209,318,225,140,105,262,77,232,0,60,0,0,0,0,250,2,0
197,0,200,510,140,337,0,95,32,399,213,237,253,143,110,265,66,237,0,60,0,0,0,0,1400,7,0
198,0,240,650,190,169,0,97,40,489,217,365,260,146,130,262,95,239,0,60,0,0,0,0,350,8,0
201,0,300,450,430,1084,0,95,79,527,213,445,316,143,85,51,472,387,0,60,0,0,0,0,900,10,0
202,0,230,400,180,1084,0,90,30,456,203,222,157,135,95,52,64,360,0,60,0,0,0,0,1200,4,0
203,0,200,360,230,1011,0,13,14,40,71,35,20,17,90,54,53,123,0,60,0,0,0,0,230,9,0
204,0,160,540,80,0,0,20,9,70,81,47,28,29,90,106,56,150,0,60,0,0,0,0,250,1,0
205,0,230,550,170,1003,302,25,33,120,89,99,60,39,85,55,279,151,0,60,0,0,0,0,250,10,0
206,0,200,550,180,0,0,43,18,209,117,148,97,67,90,8,57,224,0,60,0,0,0,0,200,8,0
207,0,290,630,240,167,0,44,37,236,119,189,124,68,105,46,353,221,0,60,0,0,0,0,350,10,0
208,0,240,360,340,1075,0,57,98,313,141,247,167,86,90,57,798,241,0,60,0,0,0,0,1500,11,690
209,0,300,650,300,138,0,46,37,247,122,197,130,71,95,59,362,225,0,60,0,0,0,0,350,10,0
210,0,300,500,50,0,0,35,13,173,104,81,51,56,130,58,40,199,0,60,0,0,0,0,130,4,0
211,0,340,730,360,0,0,77,62,421,178,347,242,115,90,60,495,288,0,60,0,0,0,0,250,10,0
212,0,330,710,300,0,0,82,66,450,187,373,262,123,95,46,504,309,0,60,0,0,0,0,250,10,0
213,0,300,630,310,167,0,48,83,263,126,206,137,73,105,318,878,226,0,60,0,0,0,0,350,11,0
215,0,290,630,270,167,0,55,194,302,241,205,143,89,125,256,2448,271,0,60,0,0,0,0,350,10,0
216,0,300,650,320,138,0,70,263,387,289,266,177,109,120,257,2602,272,0,60,0,0,0,0,350,10,0
217,0,330,710,330,0,0,85,337,476,341,406,214,147,130,258,3929,273,0,60,0,0,0,0,250,10,0
218,0,320,690,360,0,0,95,391,537,376,502,246,163,110,259,4454,274,0,60,0,0,0,0,250,10,0
219,0,310,730,330,173,0,105,426,599,410,562,289,185,110,260,5023,275,0,60,0,0,0,0,250,10,0
222,0,300,650,300,138,0,60,105,330,146,262,178,90,95,59,1002,252,0,60,0,0,0,0,350,11,0
223,0,330,710,300,0,0,75,140,417,174,336,234,112,95,61,1105,291,0,60,0,0,0,0,250,10,0
224,0,350,750,350,0,0,90,177,506,203,417,295,135,100,65,1284,361,0,60,0,0,0,0,250,10,400
226,0,0,0,80,1072,0,7,0,0,0,0,0,0,90,15,0,116,0,60,0,0,0,0,1750,0,0
227,0,0,0,80,1072,0,7,0,0,0,0,0,0,90,15,0,116,0,60,0,0,0,0,1750,0,0
228,0,0,0,100,1072,0,8,0,0,0,0,0,0,85,15,0,117,0,60,0,0,0,0,1750,0,0
229,0,0,0,100,1073,0,16,0,0,0,0,0,0,85,15,0,118,0,60,0,0,0,0,2400,0,0
230,0,240,320,100,1130,0,23,31,105,86,87,52,34,110,314,109,0,0,0,0,0,0,0,200,10,0
231,0,166,382,140,9,0,35,22,180,104,131,84,56,95,484,66,0,0,60,0,0,0,0,250,9,0
251,0,150,350,90,1076,0,48,14,195,126,110,110,73,100,18,40,0,0,60,0,0,0,0,800,7,0
252,0,160,370,105,1079,0,75,23,310,174,179,187,112,100,98,52,0,0,60,0,0,0,0,800,7,0
254,0,200,450,160,0,0,74,23,305,172,243,169,111,90,121,61,0,0,60,0,0,0,0,190,2,0
256,0,450,515,80,1076,0,63,19,283,152,184,126,94,95,326,60,258,0,60,0,0,0,0,180,1,360
257,0,480,548,95,1076,0,83,27,354,189,252,177,124,100,326,68,324,0,60,0,0,0,0,200,5,390
258,0,500,570,115,1079,0,91,30,437,205,253,179,137,115,326,73,369,0,60,0,0,0,0,200,3,450
261,0,150,350,100,0,0,45,14,183,121,142,93,69,90,1,43,224,0,60,0,0,0,0,800,2,0
262,0,160,370,120,0,0,50,14,203,129,158,105,76,90,1,46,225,0,60,0,0,0,0,900,2,0
271,0,210,530,120,1015,0,84,27,384,191,256,180,126,105,327,67,329,0,60,0,0,0,0,250,1,0
272,0,220,480,120,1015,0,85,28,354,193,286,201,127,90,327,68,334,0,60,0,0,0,0,250,2,0
273,0,230,570,120,1016,0,86,28,412,195,237,167,129,110,329,66,340,0,60,0,0,0,0,250,3,0
274,0,200,500,120,1080,0,87,29,399,197,267,188,130,95,327,68,345,0,60,0,0,0,0,800,1,0
275,0,225,510,120,1080,0,88,29,422,199,243,172,132,100,329,65,348,0,60,0,0,0,0,900,3,0
276,0,230,620,120,38,2,89,29,372,201,302,213,134,95,116,74,356,0,60,0,0,0,0,250,2,0
277,0,225,640,120,40,3,90,30,377,203,306,216,135,95,116,74,362,0,60,0,0,0,0,250,2,0
278,0,225,520,130,169,0,91,30,462,205,225,159,137,110,109,67,370,0,60,0,0,0,0,350,4,0
279,0,230,550,130,170,0,94,32,478,211,234,166,142,115,109,70,384,0,60,0,0,0,0,350,4,0
280,0,230,620,140,39,3,96,33,404,215,330,235,145,120,116,78,394,0,60,0,0,0,0,250,2,0
281,0,200,510,140,337,0,97,33,409,217,243,260,146,95,118,67,396,0,60,0,0,0,0,1000,7,0
282,0,220,550,150,338,0,98,33,413,219,246,263,148,100,118,68,399,0,60,0,0,0,0,350,7,0
283,0,225,530,160,338,61,99,34,418,221,250,267,150,100,119,68,402,0,60,0,0,0,0,1000,7,0
284,0,240,650,150,170,0,100,41,506,223,379,270,151,115,117,96,403,0,60,0,0,0,0,350,8,0
286,0,310,730,250,173,0,104,85,582,231,497,355,158,105,69,578,406,0,60,0,0,0,0,250,10,0
287,0,340,790,300,174,0,110,210,631,244,533,382,168,115,50,1638,415,0,60,0,0,0,0,250,11,0
293,0,250,490,40,1079,0,1,1000,1,1,1,1,1,105,165,1,0,1,90,0,0,0,0,250,1,0
294,0,230,500,90,1096,0,10,25,10,10,100,50,60,120,165,1,0,0,60,0,0,0,0,1600,0,0
295,0,300,310,240,0,0,90,184,18,65,50,50,60,105,287,1,0,0,60,0,0,0,0,250,0,0
296,0,160,290,110,0,0,1,50,18,50,45,50,60,105,286,1,0,0,60,0,0,0,0,250,0,0
297,0,290,490,40,1097,0,1,5,18,65,600,600,600,105,97,1,0,1,90,0,0,0,0,250,1,0
298,0,290,470,50,0,0,1,5,18,65,31,16,10,105,89,1,0,0,60,0,0,0,0,250,0,0
299,0,220,490,45,0,0,1,10,18,65,31,16,10,105,97,1,0,0,60,0,0,0,0,250,1,0
300,0,200,450,55,0,0,1,10,18,65,31,16,10,105,97,1,0,0,60,0,0,0,0,250,1,0
301,0,280,400,30,0,0,9,9,10,34,45,24,60,100,92,16,110,0,60,0,0,0,0,250,1,350
302,0,280,400,40,0,0,13,8,20,70,51,28,90,100,3,25,8,0,60,0,0,0,0,250,1,350
303,0,280,450,120,0,0,1,10,124,92,103,91,31,100,480,1,0,0,60,0,0,0,0,250,15,0
304,0,280,470,130,0,0,120,14,241,148,195,154,54,100,480,1,0,0,60,0,0,0,0,250,15,0
305,0,280,470,80,0,0,90,21,349,200,287,214,75,130,89,1,0,0,60,0,0,0,0,250,15,0
306,0,170,390,110,1003,302,35,17,171,104,121,77,56,95,285,13,149,0,60,0,0,0,0,250,8,0
307,0,170,390,140,1003,302,75,29,371,174,269,187,112,95,285,24,149,0,60,0,0,0,0,250,8,0
308,0,170,390,170,1003,302,105,42,533,233,402,288,160,95,285,32,149,0,60,0,0,0,0,250,8,0
309,0,200,400,120,1074,0,40,11,179,112,115,74,63,100,286,14,0,0,60,0,0,0,0,1200,15,290
310,0,200,450,130,1074,0,60,14,269,146,174,119,90,100,286,20,0,0,60,0,0,0,0,1200,15,300
311,0,200,500,140,1074,0,80,21,364,183,242,169,120,100,286,25,0,0,60,0,0,0,0,1250,15,310
312,0,200,550,150,1074,0,100,28,464,223,426,225,151,100,286,31,0,0,60,0,0,0,0,1250,15,330
313,0,200,600,160,1074,0,120,29,568,265,534,286,185,100,286,36,0,0,60,0,0,0,0,1300,15,350
315,0,100,250,100,0,0,1,47,20,70,500,500,500,10,91,4,8,0,60,0,0,0,0,100,1,200
316,0,130,280,80,0,0,1,47,20,70,500,500,500,15,91,4,8,0,60,0,0,0,0,100,1,200
317,0,140,300,95,0,0,1,47,20,70,500,500,500,15,91,4,8,0,60,0,0,0,0,100,1,200
318,0,150,310,100,0,0,1,47,20,70,500,500,500,15,91,4,8,0,60,0,0,0,0,100,1,200
319,0,80,280,115,0,0,1,47,20,70,500,500,500,15,94,4,8,0,60,0,0,0,0,100,1,90
320,0,100,300,130,0,0,1,47,20,70,500,500,500,15,94,4,8,0,60,0,0,0,0,100,1,90
321,0,120,330,150,0,0,1,47,20,70,500,500,500,15,94,4,8,0,60,0,0,0,0,100,1,90
322,0,200,450,20,0,0,1,5,18,65,31,16,10,105,89,1,0,0,60,0,0,0,0,250,1,0
325,0,0,0,170,0,0,79,46,322,217,236,385,87,100,96,0,0,0,60,0,0,0,0,10,0,0
326,0,0,0,230,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
327,0,0,0,245,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
328,0,0,0,260,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
329,0,0,0,270,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
331,0,220,506,85,0,0,72,22,326,168,214,148,108,110,139,61,278,0,60,0,0,0,0,300,1,270
332,0,250,560,130,0,0,74,23,335,172,221,153,111,115,139,63,289,0,60,0,0,0,0,400,1,350
335,0,250,1050,250,0,0,84,41,462,191,384,270,126,200,333,137,330,0,60,0,0,0,0,200,9,0
336,0,215,650,110,0,0,77,25,366,178,208,145,115,115,121,62,302,0,60,0,0,0,0,200,3,0
337,0,230,700,150,0,0,79,25,376,181,214,150,118,115,122,64,310,0,60,0,0,0,0,200,3,0
338,0,240,750,180,0,0,82,26,413,187,199,140,123,125,123,67,320,0,60,0,0,0,0,200,4,0
339,0,230,750,155,0,0,80,26,381,183,218,152,120,115,122,65,314,0,60,0,0,0,0,200,3,0
340,0,240,750,185,0,0,83,27,418,189,202,142,124,125,123,67,325,0,60,0,0,0,0,250,4,0
341,0,220,650,150,1008,0,92,30,443,207,257,182,138,95,124,69,376,0,60,0,0,0,0,250,3,0
342,0,210,700,160,1017,0,93,32,438,209,275,195,140,90,125,74,381,0,60,0,0,0,0,1800,6,0
343,0,225,750,165,1008,304,94,32,395,211,322,228,142,90,126,80,385,0,60,0,0,0,0,250,2,0
344,0,235,750,170,1009,0,97,40,489,217,365,260,146,120,127,98,397,0,60,0,0,0,0,250,8,0
346,0,200,700,140,1064,0,96,33,404,215,240,256,145,95,128,70,388,0,60,0,0,0,0,1200,7,0
347,0,210,700,150,1064,0,97,33,409,217,243,260,146,95,129,70,398,0,60,0,0,0,0,1500,7,0
348,0,215,700,150,1091,1265,101,52,538,225,415,296,153,110,129,135,407,0,60,0,0,0,0,1600,9,0
349,0,210,700,150,1064,0,98,33,413,219,246,263,148,100,138,71,400,0,60,0,0,0,0,1500,7,0
350,0,215,700,300,1091,0,109,86,613,241,527,378,166,135,334,561,419,0,60,0,0,0,0,200,10,500
351,0,280,800,190,1036,0,102,35,474,227,323,231,155,105,131,86,408,0,60,0,0,0,0,250,1,360
352,0,275,800,190,1092,0,109,35,464,241,281,302,166,100,130,79,421,0,60,0,0,0,0,1500,7,350
353,0,290,850,190,1036,0,111,53,598,246,467,335,170,120,132,156,423,0,60,0,0,0,0,250,9,400
356,0,300,950,250,1093,0,117,88,663,258,575,415,180,100,134,688,429,0,60,0,0,0,0,1700,10,850
357,0,230,800,220,1024,0,113,53,609,250,477,343,173,105,133,151,426,0,60,0,0,0,0,300,9,0
358,0,230,800,220,1024,0,113,53,609,250,477,343,173,105,133,151,427,0,60,0,0,0,0,300,9,0
361,0,250,750,200,1094,0,125,37,541,276,459,332,194,90,335,98,446,0,60,0,0,0,0,1500,2,750
362,0,250,1050,250,1094,0,126,37,627,278,379,275,195,95,335,98,448,0,60,0,0,0,0,1500,3,830
365,0,240,750,110,0,0,83,27,379,189,252,177,124,105,143,71,326,0,60,0,0,0,0,250,1,0
366,0,280,850,150,0,0,86,34,429,195,316,222,129,120,144,95,341,0,60,0,0,0,0,250,8,0
367,0,280,900,250,0,0,89,36,445,201,329,232,134,135,147,98,357,0,60,0,0,0,0,200,8,0
368,0,245,780,170,0,0,116,36,571,256,341,246,178,130,143,86,432,0,60,0,0,0,0,250,3,0
369,0,290,800,200,0,0,121,44,624,267,480,347,187,130,144,119,439,0,60,0,0,0,0,250,8,0
370,0,190,700,130,1084,0,95,32,409,213,297,211,143,95,128,73,389,0,60,0,0,0,0,800,5,0
371,0,190,700,170,1084,0,102,52,544,227,421,300,155,95,129,135,409,0,60,0,0,0,0,800,9,0
373,0,260,750,130,0,0,90,30,456,203,222,157,135,100,122,71,363,0,60,0,0,0,0,230,4,0
374,0,280,850,200,0,0,91,46,481,205,366,259,137,95,123,136,371,0,60,0,0,0,0,230,9,0
375,0,260,850,160,0,0,81,26,369,185,245,172,121,105,139,73,316,0,60,0,0,0,0,230,1,400
376,0,310,1050,200,0,0,84,27,401,191,230,162,126,115,136,74,331,0,60,0,0,0,0,230,3,530
377,0,310,1050,250,0,0,85,28,406,193,234,164,127,100,136,76,335,0,60,0,0,0,0,230,3,0
378,0,310,1050,250,0,0,86,28,435,195,211,148,129,100,136,77,342,0,60,0,0,0,0,250,4,600
379,0,310,1050,270,0,0,87,44,458,197,347,245,130,105,136,143,349,0,60,0,0,0,0,250,9,600
380,0,270,1100,240,0,0,100,204,568,223,474,338,151,100,336,1698,390,0,60,0,0,0,0,250,11,700
381,0,270,1100,255,0,0,115,214,663,254,563,405,176,105,137,1877,422,0,60,0,0,0,0,250,11,700
