id,type,price,pricerate,weight,quality,pricevalue
88,428,2635,5,1,70,7
89,428,2905,5,1,75,7
90,428,3155,5,1,80,7
91,429,265,5,1,30,8
92,429,305,5,1,32,8
93,429,345,5,1,34,8
94,429,395,5,1,36,8
95,429,450,5,1,38,8
96,429,505,5,1,40,8
97,429,570,5,1,42,8
98,429,265,5,1,30,8
99,429,305,5,1,32,8
100,429,345,5,1,34,8
101,429,395,5,1,36,8
102,429,450,5,1,38,8
103,429,505,5,1,40,8
104,429,570,5,1,42,8
105,429,635,5,1,44,8
106,429,705,5,1,46,8
107,429,785,5,1,48,8
108,429,865,5,1,50,8
109,429,955,5,1,52,8
110,429,1050,5,1,54,8
111,429,265,2,1,30,8
112,429,345,2,1,34,8
113,429,450,2,1,38,8
114,429,570,2,1,42,8
115,429,705,2,1,46,8
116,429,265,2,1,30,8
117,429,345,2,1,34,8
118,429,450,10,1,38,8
119,429,570,10,1,42,8
120,429,705,5,1,46,8
121,429,265,5,1,30,8
122,429,345,5,1,34,8
123,429,450,5,1,38,8
124,429,570,5,1,42,8
125,429,705,5,1,46,8
126,429,265,5,1,30,8
127,429,345,5,1,34,8
128,429,450,5,1,38,8
129,429,570,5,1,42,8
130,429,705,5,1,46,8
131,430,190,5,1,20,0
132,430,845,5,1,40,0
133,430,2275,5,1,60,0
134,430,1445,5,1,50,0
135,430,2275,5,1,60,0
136,430,3375,5,1,70,0
137,430,4780,5,1,80,0
138,430,6530,5,1,90,0
139,430,1445,5,1,50,0
140,430,1830,5,1,55,0
141,430,2275,5,1,60,0
142,430,500,0,1,32,0
143,430,845,5,1,40,0
144,430,1060,5,1,44,0
145,430,190,5,1,20,0
146,430,175,5,1,25,0
147,430,505,5,1,40,0
148,430,15,5,1,5,0
149,430,265,5,1,30,0
150,430,115,5,1,20,0
151,429,305,5,1,18,8
152,429,495,5,1,23,8
153,429,875,5,1,30,8
154,429,1590,5,1,39,8
155,429,3030,5,1,51,8
156,429,5800,5,1,66,8
157,429,11575,5,1,86,8
158,429,375,5,1,20,8
159,429,375,5,1,20,8
160,429,375,5,1,20,8
161,429,845,10,1,40,8
162,429,945,10,1,42,8
163,429,1060,10,1,44,8
164,429,1445,10,1,50,8
165,429,1830,10,1,55,8
166,429,2275,10,1,60,8
167,429,2790,10,1,65,8
168,429,3375,10,1,70,8
169,429,4040,10,1,75,8
170,429,4780,10,1,80,8
171,429,60,0,1,12,0
172,429,70,0,1,13,0
173,429,90,0,1,15,0
174,429,100,0,1,16,0
175,429,80,0,1,14,0
176,429,90,0,1,15,0
177,429,110,0,1,17,0
178,429,100,0,1,16,0
179,429,80,0,1,14,0
180,429,90,0,1,15,0
181,429,120,0,1,18,0
182,429,100,0,1,16,0
183,429,120,0,1,18,0
184,429,150,0,1,20,0
185,429,135,0,1,19,0
186,429,165,0,1,21,0
187,429,180,0,1,22,0
188,429,215,0,1,24,0
189,429,255,0,1,26,0
190,429,200,0,1,23,0
191,429,280,0,1,27,0
192,429,350,0,1,30,0
193,429,600,0,1,38,0
194,429,675,0,1,40,0
195,429,800,0,1,43,0
196,429,675,0,1,40,0
197,429,895,0,1,45,0
198,429,995,0,1,47,0
199,429,1045,0,1,48,0
200,429,1155,0,1,50,0
201,429,45,0,1,15,8
202,429,75,0,1,20,8
203,429,120,0,1,25,8
204,429,175,0,1,30,8
205,429,250,0,1,35,8
206,429,340,0,1,40,8
207,429,445,0,1,45,8
208,429,580,0,1,50,8
209,429,730,0,1,55,8
210,429,910,0,1,60,8
211,430,1750,0,1,30,0
212,430,2020,0,1,32,0
213,430,2315,0,1,34,0
214,430,2640,0,1,36,0
215,430,2995,0,1,38,0
216,430,3375,0,1,40,0
217,430,3790,0,1,42,0
218,430,4235,0,1,44,0
219,430,4710,0,1,46,0
220,430,5225,0,1,48,0
221,430,1750,0,1,30,0
222,430,2020,0,1,32,0
223,430,2315,0,1,34,0
224,430,2640,0,1,36,0
225,430,2995,0,1,38,0
226,430,2625,0,1,30,0
227,430,3030,0,1,32,0
228,430,3475,0,1,34,0
229,430,3960,0,1,36,0
230,430,4490,0,1,38,0
231,430,2625,0,1,30,0
232,430,3030,0,1,32,0
233,430,3475,0,1,34,0
234,430,3960,0,1,36,0
235,430,2625,0,1,30,0
236,430,3030,0,1,32,0
237,430,3475,0,1,34,0
238,430,3960,0,1,36,0
239,430,4490,0,1,38,0
240,430,5065,0,1,40,0
241,428,170,10,1,40,7
242,428,340,10,1,40,7
243,428,505,10,1,40,7
244,428,675,10,1,40,7
245,428,845,10,1,40,7
246,428,1015,10,1,40,7
247,428,1180,10,1,40,7
248,428,1350,10,1,40,7
249,428,1520,10,1,40,7
250,428,1690,10,1,40,7
261,429,465,0,1,34,0
262,429,530,0,1,36,0
263,429,600,0,1,38,0
264,429,675,0,1,40,0
265,429,760,0,1,42,0
266,429,845,0,1,44,0
267,429,940,0,1,46,0
268,429,1045,0,1,48,0
269,429,1155,0,1,50,0
270,429,1270,0,1,52,0
271,429,845,0,1,37,0
272,429,900,0,1,38,0
278,429,900,0,1,38,0
279,429,915,0,1,37,0
280,429,975,0,1,38,0
281,429,915,0,1,37,0
282,429,1175,0,1,35,0
291,429,2195,5,1,55,8
292,429,2195,5,1,55,8
293,429,2195,5,1,55,8
294,429,2195,5,1,55,8
295,429,5485,5,1,55,8
296,429,5485,5,1,55,8
297,429,5485,5,1,55,8
298,429,5485,5,1,55,8
299,429,36565,5,1,86,8
300,430,1,5,1,30,0
301,431,1,0,0,6,0
302,431,2,0,0,9,0
303,431,3,0,1,14,0
304,431,4,0,0,15,0
305,431,5,0,1,18,0
306,431,7,0,0,20,0
307,431,13,0,0,31,0
308,431,18,0,0,36,0
309,431,22,0,0,40,0
310,431,30,0,0,46,0
311,431,3,0,0,12,0
312,431,6,0,0,18,0
313,431,9,0,0,22,0
314,431,13,0,0,28,0
315,431,18,0,0,34,0
316,431,22,0,0,38,0
317,431,29,0,0,42,0
318,431,39,0,0,48,0
319,431,46,0,0,50,0
320,431,60,0,0,55,0
321,432,2,0,0,8,0
322,432,3,0,0,11,0
323,432,4,0,1,15,0
324,432,6,0,0,18,0
325,432,10,0,0,25,0
326,432,12,0,1,30,0
327,432,18,0,0,33,0
328,432,26,0,0,38,0
329,432,37,0,0,44,0
330,432,51,0,0,50,0
331,432,2,0,1,9,0
332,432,3,0,1,12,0
333,432,4,0,1,15,0
334,432,9,0,1,24,0
335,432,14,0,1,32,0
336,432,19,0,1,38,0
337,432,27,0,1,47,0
338,432,33,0,1,52,0
339,432,37,0,1,56,0
340,432,42,0,1,60,0
341,433,2,0,1,10,0
342,433,5,0,1,16,0
343,433,6,0,1,20,0
344,433,10,0,1,27,0
345,433,15,0,1,35,0
346,433,22,0,1,40,0
347,433,30,0,1,45,0
348,433,41,0,1,50,0
349,433,53,0,1,55,0
350,433,67,0,1,60,0
351,433,4,0,0,12,0
352,433,6,0,1,18,0
353,433,11,0,1,27,0
354,433,17,0,1,36,0
355,433,22,0,1,42,0
356,433,28,0,1,48,0
357,433,37,0,1,56,0
358,433,42,0,1,60,0
359,433,43,0,2,65,0
360,433,49,0,2,70,0
361,428,303,10,1,40,7
362,428,330,10,1,40,7
363,428,358,10,1,40,7
364,428,385,10,1,40,7
365,428,413,10,1,40,7
366,428,440,10,1,40,7
367,428,468,10,1,40,7
368,428,495,10,1,40,7
369,428,523,10,1,40,7
370,428,550,10,1,40,7
381,428,170,10,1,40,7
382,428,340,10,1,40,7
383,428,505,10,1,40,7
384,428,675,10,1,40,7
385,428,845,10,1,40,7
386,428,1015,10,1,40,7
387,428,1180,10,1,40,7
388,428,1350,10,1,40,7
389,428,1520,10,1,40,7
390,428,1690,10,1,40,7
399,428,72,10,1,40,7
400,428,72,10,1,40,7
401,430,0,0,0,10,0
402,430,0,0,0,10,0
403,430,1000,0,0,10,0
404,430,1667,0,0,10,0
405,430,200,0,0,10,0
407,430,250,0,0,10,0
408,430,250,0,0,10,0
409,430,250,0,0,10,0
410,430,250,0,0,10,0
411,430,250,0,0,10,0
412,430,250,0,0,10,0
413,430,250,0,1,10,0
414,430,250,0,0,10,0
415,430,250,0,0,10,0
416,430,250,0,0,10,0
417,430,100,0,0,10,0
440,430,500,0,1,10,0
441,430,500,0,1,10,0
445,428,790,5,1,80,7
446,428,790,5,1,80,7
447,428,790,5,1,80,7
448,428,790,5,1,80,7
451,430,300,0,0,10,0
452,430,500,0,0,10,0
453,430,500,0,0,10,0
460,431,2,0,1,9,0
461,431,3,0,1,14,0
462,431,4,0,1,15,0
463,431,5,0,1,18,0
464,431,7,0,1,20,0
465,431,13,0,1,31,0
468,431,3,0,1,12,0
469,431,6,0,1,18,0
470,431,9,0,1,22,0
471,431,13,0,1,28,0
472,431,18,0,1,34,0
473,431,22,0,1,38,0
474,431,29,0,1,42,0
476,432,3,0,1,11,0
477,432,4,0,1,15,0
478,432,6,0,1,18,0
479,432,10,0,1,25,0
480,432,12,0,1,30,0
481,432,18,0,1,33,0
482,432,26,0,1,38,0
484,432,2,0,1,9,0
485,432,3,0,1,12,0
486,432,4,0,1,15,0
489,433,5,0,1,16,0
490,433,6,0,1,20,0
491,433,10,0,1,27,0
492,433,15,0,1,35,0
494,433,4,0,1,12,0
495,433,6,0,1,18,0
501,428,790,5,1,35,7
502,428,3155,5,1,80,7
